Formula,PG,First,SG1,Second,SG2
CrC,-6m2,Cr,Im-3m,C,P63/mmc
CrC,m-3m,Cr,Im-3m,C,P63/mmc
CrCl3,-3,Cr,Im-3m,Cl,Cmca
CrCl3,2/m,Cr,Im-3m,Cl,Cmca
CrCo3,m-3m,Cr,Im-3m,Co,P63/mmc
CrCo,m-3m,Cr,Im-3m,Co,P63/mmc
Cr3Co,6/mmm,Cr,Im-3m,Co,P63/mmc
Cr3Cu,m-3m,Cr,Im-3m,Cu,Fm-3m
CrF5,mmm,Cr,Im-3m,F,C12/c1
CrF3,-3m,Cr,Im-3m,F,C12/c1
CrFe3,m-3m,Cr,Im-3m,Fe,Im-3m
CrFe3,m-3m,Cr,Im-3m,Fe,Im-3m
Cr3Fe,m-3m,Cr,Im-3m,Fe,Im-3m
Cr3Fe,m-3m,Cr,Im-3m,Fe,Im-3m
Cr3Fe,4/mmm,Cr,Im-3m,Fe,Im-3m
Cr3Ge,m-3m,Cr,Im-3m,Ge,Fm-3m
CrH,m-3m,Cr,Im-3m,H,P63/mmc
CrH,6mm,Cr,Im-3m,H,P63/mmc
CrH,6/mmm,Cr,Im-3m,H,P63/mmc
CrIr3,m-3m,Cr,Im-3m,Ir,Fm-3m
Cr3Ir,m-3m,Cr,Im-3m,Ir,Fm-3m
Cr2N,-3m,Cr,Im-3m,N,P63/mmc
CrN,-43m,Cr,Im-3m,N,P63/mmc
CrN,4/mmm,Cr,Im-3m,N,P63/mmc
Cr3N2,4/mmm,Cr,Im-3m,N,P63/mmc
Cr3N4,m-3m,Cr,Im-3m,N,P63/mmc
CrN2,m-3m,Cr,Im-3m,N,P63/mmc
CrN2,m-3,Cr,Im-3m,N,P63/mmc
CrN2,m-3m,Cr,Im-3m,N,P63/mmc
CrNi2,mmm,Cr,Im-3m,Ni,Fm-3m
CrNi3,4/mmm,Cr,Im-3m,Ni,Fm-3m
CrNi3,m-3m,Cr,Im-3m,Ni,Fm-3m
CrNi3,m-3m,Cr,Im-3m,Ni,Fm-3m
Cr3Ni,m-3m,Cr,Im-3m,Ni,Fm-3m
Cr3Ni,4/mmm,Cr,Im-3m,Ni,Fm-3m
Cr3Ni,m-3m,Cr,Im-3m,Ni,Fm-3m
CrO2,4/mmm,Cr,Im-3m,O,C12/m1
Cr2O3,-3m,Cr,Im-3m,O,C12/m1
CrO3,mm2,Cr,Im-3m,O,C12/m1
CrO3,m-3m,Cr,Im-3m,O,C12/m1
CrO,m-3m,Cr,Im-3m,O,C12/m1
Cr3Os,m-3m,Cr,Im-3m,Os,P63/mmc
CrP4,2/m,Cr,Im-3m,P,P-1
CrP,mmm,Cr,Im-3m,P,P-1
CrPd3,m-3m,Cr,Im-3m,Pd,Fm-3m
Cr3Pt,m-3m,Cr,Im-3m,Pt,Fm-3m
CrPt3,m-3m,Cr,Im-3m,Pt,Fm-3m
CrRh3,m-3m,Cr,Im-3m,Rh,Fm-3m
Cr3Ru,m-3m,Cr,Im-3m,Ru,P63/mmc
CrS2,-3m,Cr,Im-3m,S,Fddd
CrS2,-3m,Cr,Im-3m,S,Fddd
CrS2,-3m,Cr,Im-3m,S,Fddd
CrSb,6/mmm,Cr,Im-3m,Sb,R-3m
CrSb2,4/mmm,Cr,Im-3m,Sb,R-3m
CrSb2,mmm,Cr,Im-3m,Sb,R-3m
Cr3Se4,2/m,Cr,Im-3m,Se,P121/c1
Cr3Se,4/mmm,Cr,Im-3m,Se,P121/c1
CrSe,6/mmm,Cr,Im-3m,Se,P121/c1
Cr3Si,m-3m,Cr,Im-3m,Si,Fd-3m
CrSi2,4/mmm,Cr,Im-3m,Si,Fd-3m
CrSi2,622,Cr,Im-3m,Si,Fd-3m
CrSi2,622,Cr,Im-3m,Si,Fd-3m
Cr5Si3,4/mmm,Cr,Im-3m,Si,Fd-3m
CrSi,23,Cr,Im-3m,Si,Fd-3m
CrTe2,-3m,Cr,Im-3m,Te,P3121
Cr2Te3,-3m,Cr,Im-3m,Te,P3121
Cr3Te4,-3m,Cr,Im-3m,Te,P3121
CrTe,m-3m,Cr,Im-3m,Te,P3121
CrTe,-43m,Cr,Im-3m,Te,P3121
MnAl6,mmm,Mn,I-43m,Al,Fm-3m
MnAl,4/mmm,Mn,I-43m,Al,Fm-3m
Mn4Al11,-1,Mn,I-43m,Al,Fm-3m
MnAl,m-3m,Mn,I-43m,Al,Fm-3m
Mn3Al,m-3m,Mn,I-43m,Al,Fm-3m
MnAs,mmm,Mn,I-43m,As,R-3m
MnAs,6/mmm,Mn,I-43m,As,R-3m
MnAs,-43m,Mn,I-43m,As,R-3m
MnAu2,4/mmm,Mn,I-43m,Au,Fm-3m
MnAu4,4/m,Mn,I-43m,Au,Fm-3m
Mn2Au5,2/m,Mn,I-43m,Au,Fm-3m
MnAu,4/mmm,Mn,I-43m,Au,Fm-3m
MnAu,m-3m,Mn,I-43m,Au,Fm-3m
Mn2Au,4/mmm,Mn,I-43m,Au,Fm-3m
Mn2B,4/mmm,Mn,I-43m,B,R-3m
Mn3B4,mmm,Mn,I-43m,B,R-3m
MnB4,mmm,Mn,I-43m,B,R-3m
MnB2,6/mmm,Mn,I-43m,B,R-3m
MnB,4/mmm,Mn,I-43m,B,R-3m
MnBe2,6/mmm,Mn,I-43m,Be,P63/mmc
MnBi,6/mmm,Mn,I-43m,Bi,C12/m1
MnBi,6/mmm,Mn,I-43m,Bi,C12/m1
MnBr2,-3m,Mn,I-43m,Br,Cmca
Mn5C2,2/m,Mn,I-43m,C,P63/mmc
MnCl2,-3m,Mn,I-43m,Cl,Cmca
MnCo3,m-3m,Mn,I-43m,Co,P63/mmc
MnCo,m-3m,Mn,I-43m,Co,P63/mmc
MnF2,4/mmm,Mn,I-43m,F,C12/c1
MnF3,mmm,Mn,I-43m,F,C12/c1
MnFe3,4/mmm,Mn,I-43m,Fe,Im-3m
MnFe,4/mmm,Mn,I-43m,Fe,Im-3m
Mn3Ga,m-3m,Mn,I-43m,Ga,Cmca
Mn3Ge,m-3m,Mn,I-43m,Ge,Fm-3m
Mn2Ge,6/mmm,Mn,I-43m,Ge,Fm-3m
Mn2Ge,-43m,Mn,I-43m,Ge,Fm-3m
MnH,6/mmm,Mn,I-43m,H,P63/mmc
MnHg,m-3m,Mn,I-43m,Hg,R-3m
MnI2,-3m,Mn,I-43m,I,Cmca
Mn3Ir,6/mmm,Mn,I-43m,Ir,Fm-3m
MnIr,4/mmm,Mn,I-43m,Ir,Fm-3m
MnIr3,6/mmm,Mn,I-43m,Ir,Fm-3m
Mn2N,mmm,Mn,I-43m,N,P63/mmc
MnN,-43m,Mn,I-43m,N,P63/mmc
MnN,m-3m,Mn,I-43m,N,P63/mmc
Mn4N,m-3m,Mn,I-43m,N,P63/mmc
Mn2Nb,6/mmm,Mn,I-43m,Nb,Im-3m
MnNi3,m-3m,Mn,I-43m,Ni,Fm-3m
MnNi,m-3m,Mn,I-43m,Ni,Fm-3m
MnNi,4/mmm,Mn,I-43m,Ni,Fm-3m
Mn3O4,4/mmm,Mn,I-43m,O,C12/m1
MnO,-3m,Mn,I-43m,O,C12/m1
Mn2O3,mmm,Mn,I-43m,O,C12/m1
MnO2,mmm,Mn,I-43m,O,C12/m1
MnO,mm2,Mn,I-43m,O,C12/m1
Mn5O8,2/m,Mn,I-43m,O,C12/m1
MnO2,mmm,Mn,I-43m,O,C12/m1
Mn2P,-6m2,Mn,I-43m,P,P-1
MnP,mmm,Mn,I-43m,P,P-1
MnP4,-1,Mn,I-43m,P,P-1
MnP4,-1,Mn,I-43m,P,P-1
MnP4,2/m,Mn,I-43m,P,P-1
MnP4,2/m,Mn,I-43m,P,P-1
MnP4,2/m,Mn,I-43m,P,P-1
MnP,6/mmm,Mn,I-43m,P,P-1
MnP,-43m,Mn,I-43m,P,P-1
MnPd,4/mmm,Mn,I-43m,Pd,Fm-3m
Mn11Pd21,4/mmm,Mn,I-43m,Pd,Fm-3m
MnPd,m-3m,Mn,I-43m,Pd,Fm-3m
MnPd3,4/mmm,Mn,I-43m,Pd,Fm-3m
MnPt,4/mmm,Mn,I-43m,Pt,Fm-3m
MnPt3,m-3m,Mn,I-43m,Pt,Fm-3m
Mn3Pt,m-3m,Mn,I-43m,Pt,Fm-3m
MnRh,m-3m,Mn,I-43m,Rh,Fm-3m
Mn3Rh,m-3m,Mn,I-43m,Rh,Fm-3m
MnS2,-3m,Mn,I-43m,S,Fddd
MnS,-3m,Mn,I-43m,S,Fddd
MnS,-43m,Mn,I-43m,S,Fddd
MnS2,mmm,Mn,I-43m,S,Fddd
Mn3S,m-3m,Mn,I-43m,S,Fddd
Mn2Sb,4/mmm,Mn,I-43m,Sb,R-3m
Mn2Sb,6/mmm,Mn,I-43m,Sb,R-3m
MnSb,6/mmm,Mn,I-43m,Sb,R-3m
MnSb,m-3m,Mn,I-43m,Sb,R-3m
MnSb,m-3m,Mn,I-43m,Sb,R-3m
MnSb,-43m,Mn,I-43m,Sb,R-3m
MnSe,-43m,Mn,I-43m,Se,P121/c1
MnSe,m-3m,Mn,I-43m,Se,P121/c1
MnSe2,m-3,Mn,I-43m,Se,P121/c1
MnSe,4/mmm,Mn,I-43m,Se,P121/c1
MnSe,6/mmm,Mn,I-43m,Se,P121/c1
MnSe,6mm,Mn,I-43m,Se,P121/c1
MnSi,23,Mn,I-43m,Si,Fd-3m
Mn3Si,m-3m,Mn,I-43m,Si,Fd-3m
Mn4Si7,mmm,Mn,I-43m,Si,Fd-3m
Mn5Si3,6/mmm,Mn,I-43m,Si,Fd-3m
Mn3Sn2,mmm,Mn,I-43m,Sn,I41/amd
MnSn2,4/mmm,Mn,I-43m,Sn,I41/amd
Mn3Sn,m-3m,Mn,I-43m,Sn,I41/amd
MnSn,m-3m,Mn,I-43m,Sn,I41/amd
MnSn,m-3m,Mn,I-43m,Sn,I41/amd
Mn3Sn,6/mmm,Mn,I-43m,Sn,I41/amd
Mn2Sn,6/mmm,Mn,I-43m,Sn,I41/amd
MnTe,-43m,Mn,I-43m,Te,P3121
MnTe2,m-3,Mn,I-43m,Te,P3121
MnTe,m-3m,Mn,I-43m,Te,P3121
MnTe,6/mmm,Mn,I-43m,Te,P3121
Mn3Tl,m-3m,Mn,I-43m,Tl,P63/mmc
MnV,m-3m,Mn,I-43m,V,Im-3m
MnV3,m-3m,Mn,I-43m,V,Im-3m
MnZn3,m-3m,Mn,I-43m,Zn,P63/mmc
MnZn,m-3m,Mn,I-43m,Zn,P63/mmc
Mn3Zn,4/mmm,Mn,I-43m,Zn,P63/mmc
FeAg3,m-3m,Fe,Im-3m,Ag,Fm-3m
FeAs2,mmm,Fe,Im-3m,As,R-3m
FeAs,mmm,Fe,Im-3m,As,R-3m
Fe2As,4/mmm,Fe,Im-3m,As,R-3m
Fe2B,4/mmm,Fe,Im-3m,B,R-3m
FeB,mmm,Fe,Im-3m,B,R-3m
FeB,mmm,Fe,Im-3m,B,R-3m
Fe2B,4/mmm,Fe,Im-3m,B,R-3m
Fe3C,mmm,Fe,Im-3m,C,P63/mmc
Fe3C,622,Fe,Im-3m,C,P63/mmc
Fe5C2,2/m,Fe,Im-3m,C,P63/mmc
Fe7C3,6mm,Fe,Im-3m,C,P63/mmc
Fe2C,mmm,Fe,Im-3m,C,P63/mmc
Fe3C,mmm,Fe,Im-3m,C,P63/mmc
Fe4C,-43m,Fe,Im-3m,C,P63/mmc
FeCl3,1,Fe,Im-3m,Cl,Cmca
FeCl2,-3m,Fe,Im-3m,Cl,Cmca
FeCl2,-3m,Fe,Im-3m,Cl,Cmca
FeCl,m-3m,Fe,Im-3m,Cl,Cmca
Fe3Co,4/mmm,Fe,Im-3m,Co,P63/mmc
Fe9Co7,m-3m,Fe,Im-3m,Co,P63/mmc
FeCo,m-3m,Fe,Im-3m,Co,P63/mmc
Fe11Co5,4/mmm,Fe,Im-3m,Co,P63/mmc
Fe15Co,m-3m,Fe,Im-3m,Co,P63/mmc
Fe13Co3,4/mmm,Fe,Im-3m,Co,P63/mmc
FeCo3,m-3m,Fe,Im-3m,Co,P63/mmc
FeF2,4/mmm,Fe,Im-3m,F,C12/c1
FeF3,m-3m,Fe,Im-3m,F,C12/c1
FeF4,4/mmm,Fe,Im-3m,F,C12/c1
Fe3Ge,m-3m,Fe,Im-3m,Ge,Fm-3m
Fe3Ge,m-3m,Fe,Im-3m,Ge,Fm-3m
Fe3Ge,6/mmm,Fe,Im-3m,Ge,Fm-3m
FeGe2,4/mmm,Fe,Im-3m,Ge,Fm-3m
FeGe2,mmm,Fe,Im-3m,Ge,Fm-3m
FeGe,6/mmm,Fe,Im-3m,Ge,Fm-3m
FeGe,23,Fe,Im-3m,Ge,Fm-3m
FeGe,2/m,Fe,Im-3m,Ge,Fm-3m
Fe2Ge,6/mmm,Fe,Im-3m,Ge,Fm-3m
Fe2Ge,6/mmm,Fe,Im-3m,Ge,Fm-3m
FeH,m-3m,Fe,Im-3m,H,P63/mmc
FeH3,m-3m,Fe,Im-3m,H,P63/mmc
FeI2,-3m,Fe,Im-3m,I,Cmca
Fe7Mo6,-3m,Fe,Im-3m,Mo,Im-3m
Fe3N,622,Fe,Im-3m,N,P63/mmc
FeN,-43m,Fe,Im-3m,N,P63/mmc
Fe8N,4/mmm,Fe,Im-3m,N,P63/mmc
Fe8N3,2,Fe,Im-3m,N,P63/mmc
Fe2N,mmm,Fe,Im-3m,N,P63/mmc
Fe2N,-3m,Fe,Im-3m,N,P63/mmc
Fe4N,m-3m,Fe,Im-3m,N,P63/mmc
Fe3N,32,Fe,Im-3m,N,P63/mmc
FeN,6/mmm,Fe,Im-3m,N,P63/mmc
FeN,m-3m,Fe,Im-3m,N,P63/mmc
FeNi3,m-3m,Fe,Im-3m,Ni,Fm-3m
FeNi,4/mmm,Fe,Im-3m,Ni,Fm-3m
Fe3Ni,m-3m,Fe,Im-3m,Ni,Fm-3m
FeNi3,4/mmm,Fe,Im-3m,Ni,Fm-3m
FeNi3,m-3m,Fe,Im-3m,Ni,Fm-3m
Fe3Ni,m-3m,Fe,Im-3m,Ni,Fm-3m
Fe3O4,m-3m,Fe,Im-3m,O,C12/m1
FeO,2/m,Fe,Im-3m,O,C12/m1
FeO,2/m,Fe,Im-3m,O,C12/m1
FeO,4/mmm,Fe,Im-3m,O,C12/m1
Fe2O3,2,Fe,Im-3m,O,C12/m1
FeO2,6/mmm,Fe,Im-3m,O,C12/m1
Fe2P,-6m2,Fe,Im-3m,P,P-1
FeP,mmm,Fe,Im-3m,P,P-1
FeP4,2/m,Fe,Im-3m,P,P-1
FeP2,mmm,Fe,Im-3m,P,P-1
FeP4,2/m,Fe,Im-3m,P,P-1
FeP4,222,Fe,Im-3m,P,P-1
FePd,4/mmm,Fe,Im-3m,Pd,Fm-3m
FePd3,m-3m,Fe,Im-3m,Pd,Fm-3m
Fe3Pd,m-3m,Fe,Im-3m,Pd,Fm-3m
FePt,4/mmm,Fe,Im-3m,Pt,Fm-3m
FePt3,m-3m,Fe,Im-3m,Pt,Fm-3m
Fe3Pt,m-3m,Fe,Im-3m,Pt,Fm-3m
Fe3Pt,4/mmm,Fe,Im-3m,Pt,Fm-3m
Fe2Re3,432,Fe,Im-3m,Re,P63/mmc
Fe3Re,6/mmm,Fe,Im-3m,Re,P63/mmc
FeRe,-6m2,Fe,Im-3m,Re,P63/mmc
FeRh,m-3m,Fe,Im-3m,Rh,Fm-3m
FeS2,mmm,Fe,Im-3m,S,Fddd
FeS,4/mmm,Fe,Im-3m,S,Fddd
FeS2,m-3,Fe,Im-3m,S,Fddd
FeSb3,m-3,Fe,Im-3m,Sb,R-3m
FeSb2,mmm,Fe,Im-3m,Sb,R-3m
FeSb,6/mmm,Fe,Im-3m,Sb,R-3m
FeSe2,mmm,Fe,Im-3m,Se,P121/c1
FeSe,4/mmm,Fe,Im-3m,Se,P121/c1
Fe3Se4,2/m,Fe,Im-3m,Se,P121/c1
FeSe,6/mmm,Fe,Im-3m,Se,P121/c1
FeSe,m-3m,Fe,Im-3m,Se,P121/c1
FeSe,4/mmm,Fe,Im-3m,Se,P121/c1
FeSi,23,Fe,Im-3m,Si,Fd-3m
Fe3Si,m-3m,Fe,Im-3m,Si,Fd-3m
FeSi2,mmm,Fe,Im-3m,Si,Fd-3m
Fe2Si,-3m,Fe,Im-3m,Si,Fd-3m
Fe11Si5,m-3m,Fe,Im-3m,Si,Fd-3m
FeSi2,4/mmm,Fe,Im-3m,Si,Fd-3m
Fe5Si3,6/mmm,Fe,Im-3m,Si,Fd-3m
Fe3Sn,m-3m,Fe,Im-3m,Sn,I41/amd
FeSn2,4/mmm,Fe,Im-3m,Sn,I41/amd
FeSn,6/mmm,Fe,Im-3m,Sn,I41/amd
Fe3Sn2,-3m,Fe,Im-3m,Sn,I41/amd
FeSn,6/mmm,Fe,Im-3m,Sn,I41/amd
Fe3Sn,6/mmm,Fe,Im-3m,Sn,I41/amd
FeTe2,mmm,Fe,Im-3m,Te,P3121
FeTe,4/mmm,Fe,Im-3m,Te,P3121
FeTe,6/mmm,Fe,Im-3m,Te,P3121
Fe7W6,-3m,Fe,Im-3m,W,Im-3m
Fe2W,6/mmm,Fe,Im-3m,W,Im-3m
CoAs3,m-3,Co,P63/mmc,As,R-3m
CoAs2,2/m,Co,P63/mmc,As,R-3m
CoAs,mmm,Co,P63/mmc,As,R-3m
CoAs2,mmm,Co,P63/mmc,As,R-3m
CoAs,6/mmm,Co,P63/mmc,As,R-3m
CoB,mmm,Co,P63/mmc,B,R-3m
Co2B,4/mmm,Co,P63/mmc,B,R-3m
Co3Bi,4/mmm,Co,P63/mmc,Bi,C12/m1
CoBr2,-3m,Co,P63/mmc,Br,Cmca
Co2C,mmm,Co,P63/mmc,C,P63/mmc
CoCl2,-3m,Co,P63/mmc,Cl,Cmca
CoCl2,-3m,Co,P63/mmc,Cl,Cmca
CoCl2,2/m,Co,P63/mmc,Cl,Cmca
CoF3,m-3m,Co,P63/mmc,F,C12/c1
CoGe,2/m,Co,P63/mmc,Ge,Fm-3m
CoGe2,mmm,Co,P63/mmc,Ge,Fm-3m
CoGe,23,Co,P63/mmc,Ge,Fm-3m
Co2Ge,6/mmm,Co,P63/mmc,Ge,Fm-3m
Co3H,6/mmm,Co,P63/mmc,H,P63/mmc
CoHg3,m-3m,Co,P63/mmc,Hg,R-3m
CoI2,-3m,Co,P63/mmc,I,Cmca
Co3Mo,6/mmm,Co,P63/mmc,Mo,Im-3m
Co7Mo6,-3m,Co,P63/mmc,Mo,Im-3m
Co3Mo,m-3m,Co,P63/mmc,Mo,Im-3m
CoMo,m-3m,Co,P63/mmc,Mo,Im-3m
CoN,-43m,Co,P63/mmc,N,P63/mmc
Co2N,mmm,Co,P63/mmc,N,P63/mmc
CoN,m-3m,Co,P63/mmc,N,P63/mmc
Co3Ni,m-3m,Co,P63/mmc,Ni,Fm-3m
CoNi,m-3m,Co,P63/mmc,Ni,Fm-3m
CoO2,4/m,Co,P63/mmc,O,C12/m1
CoO,mm2,Co,P63/mmc,O,C12/m1
CoO2,2/m,Co,P63/mmc,O,C12/m1
CoO,-3m,Co,P63/mmc,O,C12/m1
CoO2,mmm,Co,P63/mmc,O,C12/m1
CoO2,6/mmm,Co,P63/mmc,O,C12/m1
CoP,mmm,Co,P63/mmc,P,P-1
CoP2,2/m,Co,P63/mmc,P,P-1
Co2P,mmm,Co,P63/mmc,P,P-1
CoP3,m-3,Co,P63/mmc,P,P-1
Co2P,-6m2,Co,P63/mmc,P,P-1
CoPt3,m-3m,Co,P63/mmc,Pt,Fm-3m
CoPt,4/mmm,Co,P63/mmc,Pt,Fm-3m
Co3Pt,6/mmm,Co,P63/mmc,Pt,Fm-3m
CoRe3,6/mmm,Co,P63/mmc,Re,P63/mmc
Co9S8,m-3m,Co,P63/mmc,S,Fddd
CoS2,m-3,Co,P63/mmc,S,Fddd
CoS2,-3m,Co,P63/mmc,S,Fddd
CoS,6/mmm,Co,P63/mmc,S,Fddd
CoSb3,m-3,Co,P63/mmc,Sb,R-3m
CoSb,6/mmm,Co,P63/mmc,Sb,R-3m
CoSb2,2/m,Co,P63/mmc,Sb,R-3m
CoSb2,mmm,Co,P63/mmc,Sb,R-3m
CoSe2,mmm,Co,P63/mmc,Se,P121/c1
Co3Se4,m-3m,Co,P63/mmc,Se,P121/c1
CoSe,4/mmm,Co,P63/mmc,Se,P121/c1
Co3Se4,2/m,Co,P63/mmc,Se,P121/c1
CoSe2,m-3,Co,P63/mmc,Se,P121/c1
CoSe2,m-3m,Co,P63/mmc,Se,P121/c1
CoSe,6/mmm,Co,P63/mmc,Se,P121/c1
CoSi2,m-3m,Co,P63/mmc,Si,Fd-3m
CoSi,23,Co,P63/mmc,Si,Fd-3m
Co2Si,mmm,Co,P63/mmc,Si,Fd-3m
CoSi,m-3m,Co,P63/mmc,Si,Fd-3m
CoSn,6/mmm,Co,P63/mmc,Sn,I41/amd
CoSn2,4/mmm,Co,P63/mmc,Sn,I41/amd
CoTc3,6/mmm,Co,P63/mmc,Tc,P63/mmc
CoTe2,mmm,Co,P63/mmc,Te,P3121
CoTe,6/mmm,Co,P63/mmc,Te,P3121
Co3W,6/mmm,Co,P63/mmc,W,Im-3m
Co3W,m-3m,Co,P63/mmc,W,Im-3m
CoW,m-3m,Co,P63/mmc,W,Im-3m
NiAg3,m-3m,Ni,Fm-3m,Ag,Fm-3m
NiAs2,mmm,Ni,Fm-3m,As,R-3m
NiAs,6/mmm,Ni,Fm-3m,As,R-3m
NiAs2,m-3,Ni,Fm-3m,As,R-3m
NiAs,6/mmm,Ni,Fm-3m,As,R-3m
NiAu3,m-3m,Ni,Fm-3m,Au,Fm-3m
NiAu3,6/mmm,Ni,Fm-3m,Au,Fm-3m
Ni3Au,4/mmm,Ni,Fm-3m,Au,Fm-3m
Ni3Au,6/mmm,Ni,Fm-3m,Au,Fm-3m
Ni2B,4/mmm,Ni,Fm-3m,B,R-3m
Ni3B,mmm,Ni,Fm-3m,B,R-3m
NiB,mmm,Ni,Fm-3m,B,R-3m
NiBi3,mmm,Ni,Fm-3m,Bi,C12/m1
NiBi,6/mmm,Ni,Fm-3m,Bi,C12/m1
Ni3Bi,m-3m,Ni,Fm-3m,Bi,C12/m1
NiBr2,-3m,Ni,Fm-3m,Br,Cmca
Ni3C,-3m,Ni,Fm-3m,C,P63/mmc
NiC,m-3m,Ni,Fm-3m,C,P63/mmc
NiCl2,-3m,Ni,Fm-3m,Cl,Cmca
NiCl,m-3m,Ni,Fm-3m,Cl,Cmca
NiF2,4/mmm,Ni,Fm-3m,F,C12/c1
NiF3,-3m,Ni,Fm-3m,F,C12/c1
NiF3,-3,Ni,Fm-3m,F,C12/c1
NiGe,mmm,Ni,Fm-3m,Ge,Fm-3m
Ni3Ge,m-3m,Ni,Fm-3m,Ge,Fm-3m
Ni2Ge,mmm,Ni,Fm-3m,Ge,Fm-3m
Ni2Ge,6/mmm,Ni,Fm-3m,Ge,Fm-3m
NiGe2,mmm,Ni,Fm-3m,Ge,Fm-3m
NiGe3,4/mmm,Ni,Fm-3m,Ge,Fm-3m
NiH,m-3m,Ni,Fm-3m,H,P63/mmc
Ni2H,-3m,Ni,Fm-3m,H,P63/mmc
NiHg4,m-3m,Ni,Fm-3m,Hg,R-3m
Ni3Hg,m-3m,Ni,Fm-3m,Hg,R-3m
NiI2,-3m,Ni,Fm-3m,I,Cmca
Ni3I,4/mmm,Ni,Fm-3m,I,Cmca
Ni3Mo,mmm,Ni,Fm-3m,Mo,Im-3m
Ni4Mo,4/m,Ni,Fm-3m,Mo,Im-3m
Ni2Mo,mmm,Ni,Fm-3m,Mo,Im-3m
Ni3N,622,Ni,Fm-3m,N,P63/mmc
NiN,6mm,Ni,Fm-3m,N,P63/mmc
NiN,m-3m,Ni,Fm-3m,N,P63/mmc
NiN,m-3m,Ni,Fm-3m,N,P63/mmc
Ni3O4,mmm,Ni,Fm-3m,O,C12/m1
NiO,-3m,Ni,Fm-3m,O,C12/m1
Ni15O16,m-3m,Ni,Fm-3m,O,C12/m1
NiO2,mmm,Ni,Fm-3m,O,C12/m1
Ni2P,-6m2,Ni,Fm-3m,P,P-1
NiP3,m-3,Ni,Fm-3m,P,P-1
NiP2,m-3,Ni,Fm-3m,P,P-1
NiP2,2/m,Ni,Fm-3m,P,P-1
NiPb,6/mmm,Ni,Fm-3m,Pb,Fm-3m
NiPd3,6/mmm,Ni,Fm-3m,Pd,Fm-3m
NiPt,4/mmm,Ni,Fm-3m,Pt,Fm-3m
Ni3Pt,m-3m,Ni,Fm-3m,Pt,Fm-3m
Ni3S4,m-3m,Ni,Fm-3m,S,Fddd
Ni3S2,32,Ni,Fm-3m,S,Fddd
NiS,3m,Ni,Fm-3m,S,Fddd
NiS2,2/m,Ni,Fm-3m,S,Fddd
NiS,6/mmm,Ni,Fm-3m,S,Fddd
NiSb,6/mmm,Ni,Fm-3m,Sb,R-3m
NiSb2,mmm,Ni,Fm-3m,Sb,R-3m
Ni3Sb,mmm,Ni,Fm-3m,Sb,R-3m
Ni3Sb,m-3m,Ni,Fm-3m,Sb,R-3m
Ni3Sb,6/mmm,Ni,Fm-3m,Sb,R-3m
Ni3Sb,m-3m,Ni,Fm-3m,Sb,R-3m
Ni3Se2,32,Ni,Fm-3m,Se,P121/c1
NiSe,3m,Ni,Fm-3m,Se,P121/c1
NiSe2,m-3,Ni,Fm-3m,Se,P121/c1
Ni3Se4,2/m,Ni,Fm-3m,Se,P121/c1
NiSe,6/mmm,Ni,Fm-3m,Se,P121/c1
NiSe,4/mmm,Ni,Fm-3m,Se,P121/c1
Ni3Sn,6/mmm,Ni,Fm-3m,Sn,I41/amd
Ni3Sn4,2/m,Ni,Fm-3m,Sn,I41/amd
Ni3Sn,m-3m,Ni,Fm-3m,Sn,I41/amd
Ni3Sn,m-3m,Ni,Fm-3m,Sn,I41/amd
NiTe2,-3m,Ni,Fm-3m,Te,P3121
NiTe,-3m,Ni,Fm-3m,Te,P3121
NiTe,6/mmm,Ni,Fm-3m,Te,P3121
Ni4W,4/m,Ni,Fm-3m,W,Im-3m
CuAg3,6/mmm,Cu,Fm-3m,Ag,Fm-3m
Cu2As,4/mmm,Cu,Fm-3m,As,R-3m
CuAs,6/mmm,Cu,Fm-3m,As,R-3m
CuAs2,mmm,Cu,Fm-3m,As,R-3m
CuAu,4/mmm,Cu,Fm-3m,Au,Fm-3m
Cu3Au,m-3m,Cu,Fm-3m,Au,Fm-3m
CuAu3,m-3m,Cu,Fm-3m,Au,Fm-3m
CuBr2,2/m,Cu,Fm-3m,Br,Cmca
CuBr,-43m,Cu,Fm-3m,Br,Cmca
CuBr,-42m,Cu,Fm-3m,Br,Cmca
CuBr,4/mmm,Cu,Fm-3m,Br,Cmca
CuBr,6/mmm,Cu,Fm-3m,Br,Cmca
CuBr,m-3m,Cu,Fm-3m,Br,Cmca
CuCl2,2/m,Cu,Fm-3m,Cl,Cmca
CuCl,-43m,Cu,Fm-3m,Cl,Cmca
CuCl4,-42m,Cu,Fm-3m,Cl,Cmca
CuCl,m-3m,Cu,Fm-3m,Cl,Cmca
CuF2,2/m,Cu,Fm-3m,F,C12/c1
Cu3Ge,mmm,Cu,Fm-3m,Ge,Fm-3m
CuH,6mm,Cu,Fm-3m,H,P63/mmc
CuI,3m,Cu,Fm-3m,I,Cmca
CuI,-3m,Cu,Fm-3m,I,Cmca
CuI,-43m,Cu,Fm-3m,I,Cmca
CuI,m,Cu,Fm-3m,I,Cmca
CuI,6mm,Cu,Fm-3m,I,Cmca
CuI,4/mmm,Cu,Fm-3m,I,Cmca
Cu3N,m-3m,Cu,Fm-3m,N,P63/mmc
CuN3,4/mmm,Cu,Fm-3m,N,P63/mmc
CuN6,mmm,Cu,Fm-3m,N,P63/mmc
